"node_name","node_id","prod_type","prod_subtype","coal_brand","coal_group","year","prod_capa_Mt","total_cash_cost_ex_transp","c1_cash_cost_ex_transp","price_ex_transp","price_usd_pt","c1cashcost_usd_pt","mining_cost_usd_pt","coal_prep_cost_usd_pt","overhead_cost_usd_pt","port_cost_usd_pt","transp_cost_usd_pt","royalties_usd_pt","CV_cost_premium"
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2026,44.45,62,59.7,65.2,67.54222,62.0553320803772,52.5230096010769,2.66156230681152,6.87076017248876,0,0,2.32125,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2027,43.37,63.3,60.9,66.5,68.89306,63.2964387219845,53.5734697930983,2.71479355294775,7.00817537593851,0,0,2.36178,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2028,41.89,64.6,62.2,67.9,70.27092,64.5623674964244,54.6449391889604,2.76908942400671,7.1483388834573,0,0,2.40311,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2029,40.51,65.9,63.5,69.3,71.67634,65.8536148463526,55.7378379727394,2.82447121248683,7.29130566112642,0,0,2.44527,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2030,38.75,67.3,64.8,70.8,73.10987,67.1706871432798,56.8525947321943,2.88096063673657,7.43713177434896,0,0,2.48828,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2015,0.36,89.7,85.7,109.6,111.93191,88.09305,76.98808,7.49425,10.61073,0,0,4.00032,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2016,0.38,54.6,50.8,106.2,108.51896,53.13544,49.05876,5.80545,5.27122,0,0,3.85762,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2017,0.34,72.1,66.4,166.4,168.76426,68.79759,58.54823,5.70506,11.5443,0,0,5.65456,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2018,0.32,76.3,70,188.6,190.90208,72.35685,61.5314,5.83006,11.99539,0,0,6.33166,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2019,0.32,76.1,69.7,188.6,190.9274,72.09497,61.12314,5.58327,12.38856,0,0,6.30683,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2020,0.33,75.7,69.6,182.1,184.40801,71.90686,60.97777,5.56999,12.35909,0,0,6.10987,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2021,0.34,78.3,71.9,190.8,193.14735,74.2889571086936,62.8186045488346,5.73814264988713,12.7321996748214,0,0,6.37582,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2022,0.34,79.7,73.4,187.4,189.7799,75.7607804668238,63.9560053830002,5.84203779429422,12.9627268236225,0,0,6.27227,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2023,0.34,81.9,75.8,181.2,183.52606,78.157284134168,65.8079831328907,6.0112055710045,13.3380954302729,0,0,6.08802,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2024,0.34,84.7,78.7,178,180.32,81.0129307095009,68.0147747097283,6.21278936754905,13.7853666322236,0,0,5.99957,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2025,0.34,86.3,80.4,174.8,177.11394,82.7731893236909,69.3750702039228,6.33704515490002,14.061073964868,0,0,5.90339,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2026,0.34,88.2,82.2,178.3,180.65622,84.5686531101648,70.7625716080013,6.46378605799803,14.3422954441654,0,0,6.00965,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2027,0.34,90.2,84.1,181.9,184.26934,86.4000261723678,72.1778230401611,6.59306177915797,14.6291413530487,0,0,6.11805,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2028,0.34,92.1,85.9,185.6,187.95473,88.2680266958154,73.6213795009645,6.72492301474115,14.9217241801097,0,0,6.22861,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2029,0.34,94.2,87.8,189.4,191.71382,90.1733872297314,75.0938070909836,6.85942147503595,15.2201586637118,0,0,6.34138,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","HCC","Anhui HCC","HCC",2030,0.34,96.2,89.8,193.2,195.5481,92.1168549743262,76.5956832328034,6.99660990453668,15.5245618369861,0,0,6.45641,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2015,3.16,92.5,88.7,100.8,103.09941,91.07008,73.32198,7.13738,10.61073,0,0,3.73535,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2016,3.37,57.9,54.1,104.8,107.16436,56.47782,45.78818,5.41842,5.27122,0,0,3.81698,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2017,3,78.1,72.5,163,165.36236,74.89262,57.7236,5.62471,11.5443,0,0,5.55251,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2018,3,79.3,73.4,176.6,178.96126,75.71569,58.20538,5.51492,11.99539,0,0,5.97344,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2019,3.04,76,70.1,176.3,178.62351,72.43644,55.02192,5.02596,12.38856,0,0,5.93771,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2020,3.18,75.7,69.9,172.1,174.44392,72.26416,54.89106,5.01401,12.35909,0,0,5.81095,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2021,3.25,78.2,72.1,180.4,182.71104,74.4457252612624,56.5481521926784,5.16537339376263,12.7321996748214,0,0,6.06273,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2022,3.25,79.4,73.4,177.2,179.52554,75.7936367565855,57.5720115353737,5.25889839758932,12.9627268236225,0,0,5.96464,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2023,3.25,81.4,75.6,171.3,173.60962,77.9884027277312,59.239133419233,5.4111738782253,13.3380954302729,0,0,5.79053,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2024,3.25,84,78.3,168.2,170.57679,80.6036406947566,61.2256420693682,5.59263199316492,13.7853666322236,0,0,5.70727,0
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3","Metallurgical","SCC","Anhui SCC","SCC",2025,3.25,85.5,79.9,165.2,167.54396,82.2157135086517,62.4501549107555,5.70448463302821,14.0610739648681,0,0,5.61629,0
